gene_id	fraction_samples
ENSG00000000003.16	1.0
ENSG00000000419.14	1.0
ENSG00000000457.14	1.0
ENSG00000000460.17	1.0
ENSG00000000938.13	1.0
ENSG00000000971.17	1.0
ENSG00000001036.14	1.0
ENSG00000001084.13	1.0
ENSG00000001167.15	1.0
ENSG00000001460.18	1.0
ENSG00000001461.19	1.0
ENSG00000001497.18	1.0
ENSG00000001561.7	1.0
ENSG00000001617.12	1.0
ENSG00000001629.10	1.0
ENSG00000001630.18	1.0
ENSG00000001631.17	1.0
ENSG00000002016.18	1.0
ENSG00000002330.14	1.0
ENSG00000002549.13	1.0
ENSG00000002587.10	1.0
ENSG00000002834.19	1.0
ENSG00000002919.15	1.0
ENSG00000002933.9	1.0
ENSG00000003056.8	1.0
ENSG00000003096.15	1.0
ENSG00000003137.9	1.0
ENSG00000003147.19	1.0
ENSG00000003249.15	1.0
ENSG00000003393.16	1.0
ENSG00000003400.16	1.0
ENSG00000003402.21	1.0
ENSG00000003436.16	1.0
ENSG00000003509.16	1.0
ENSG00000003756.17	1.0
ENSG00000003987.14	1.0
ENSG00000003989.18	1.0
ENSG00000004059.11	1.0
ENSG00000004139.14	1.0
ENSG00000004142.12	1.0
ENSG00000004399.13	1.0
ENSG00000004455.18	1.0
ENSG00000004468.13	1.0
ENSG00000004478.8	1.0
ENSG00000004487.18	1.0
ENSG00000004534.15	1.0
ENSG00000004660.15	1.0
ENSG00000004700.16	1.0
ENSG00000004766.17	1.0
ENSG00000004776.13	1.0
ENSG00000004777.19	1.0
ENSG00000004779.10	1.0
ENSG00000004799.8	1.0
ENSG00000004838.14	0.9375
ENSG00000004864.14	1.0
ENSG00000004866.22	1.0
ENSG00000004897.12	1.0
ENSG00000004961.15	1.0
ENSG00000004975.12	1.0
ENSG00000005007.14	1.0
ENSG00000005020.13	1.0
ENSG00000005022.6	1.0
ENSG00000005059.16	1.0
ENSG00000005075.16	1.0
ENSG00000005100.13	1.0
ENSG00000005102.14	0.9
ENSG00000005108.17	1.0
ENSG00000005156.12	1.0
ENSG00000005175.10	1.0
ENSG00000005187.12	0.9625
ENSG00000005189.20	1.0
ENSG00000005194.15	1.0
ENSG00000005206.17	1.0
ENSG00000005238.20	1.0
ENSG00000005243.10	1.0
ENSG00000005249.14	1.0
ENSG00000005302.19	1.0
ENSG00000005339.15	1.0
ENSG00000005379.17	1.0
ENSG00000005381.9	0.9375
ENSG00000005436.14	1.0
ENSG00000005448.17	1.0
ENSG00000005469.12	1.0
ENSG00000005471.19	1.0
ENSG00000005483.23	1.0
ENSG00000005486.17	1.0
ENSG00000005513.11	0.9875
ENSG00000005700.15	1.0
ENSG00000005801.18	1.0
ENSG00000005810.20	1.0
ENSG00000005812.11	1.0
ENSG00000005844.19	1.0
ENSG00000005882.12	1.0
ENSG00000005884.18	1.0
ENSG00000005889.16	1.0
ENSG00000005893.17	1.0
ENSG00000005961.19	1.0
ENSG00000006007.12	1.0
ENSG00000006015.18	1.0
ENSG00000006016.12	1.0
ENSG00000006025.13	1.0
ENSG00000006042.12	1.0
ENSG00000006047.13	0.975
ENSG00000006062.18	1.0
ENSG00000006071.16	0.975
ENSG00000006118.15	1.0
ENSG00000006125.18	1.0
ENSG00000006128.12	0.925
ENSG00000006194.12	1.0
ENSG00000006210.7	1.0
ENSG00000006282.22	1.0
ENSG00000006283.18	0.925
ENSG00000006327.14	1.0
ENSG00000006432.16	1.0
ENSG00000006451.8	1.0
ENSG00000006453.14	1.0
ENSG00000006459.11	1.0
ENSG00000006468.15	1.0
ENSG00000006530.18	1.0
ENSG00000006534.17	1.0
ENSG00000006555.11	0.9875
ENSG00000006576.17	1.0
ENSG00000006607.14	1.0
ENSG00000006625.18	1.0
ENSG00000006634.8	1.0
ENSG00000006638.13	1.0
ENSG00000006652.15	1.0
ENSG00000006695.12	1.0
ENSG00000006704.11	1.0
ENSG00000006712.15	1.0
ENSG00000006715.16	1.0
ENSG00000006740.18	1.0
ENSG00000006744.19	1.0
ENSG00000006747.15	1.0
ENSG00000006756.16	1.0
ENSG00000006757.12	1.0
ENSG00000006831.10	1.0
ENSG00000006837.12	1.0
ENSG00000007047.16	1.0
ENSG00000007062.12	1.0
ENSG00000007080.11	1.0
ENSG00000007129.18	0.975
ENSG00000007168.15	1.0
ENSG00000007171.19	0.975
ENSG00000007174.18	0.9625
ENSG00000007202.16	1.0
ENSG00000007237.19	1.0
ENSG00000007255.10	1.0
ENSG00000007264.15	1.0
ENSG00000007312.14	0.95
ENSG00000007314.12	0.95
ENSG00000007341.19	1.0
ENSG00000007376.8	1.0
ENSG00000007384.15	1.0
ENSG00000007392.17	1.0
ENSG00000007402.12	1.0
ENSG00000007516.15	1.0
ENSG00000007520.4	1.0
ENSG00000007541.17	1.0
ENSG00000007545.16	1.0
ENSG00000007866.22	1.0
ENSG00000007908.16	0.975
ENSG00000007923.17	1.0
ENSG00000007933.13	1.0
ENSG00000007944.16	1.0
ENSG00000007952.18	0.975
ENSG00000008018.9	1.0
ENSG00000008056.14	0.975
ENSG00000008083.14	1.0
ENSG00000008086.13	1.0
ENSG00000008128.23	0.9875
ENSG00000008130.15	1.0
ENSG00000008226.20	0.975
ENSG00000008256.17	1.0
ENSG00000008277.15	1.0
ENSG00000008282.10	1.0
ENSG00000008283.16	1.0
ENSG00000008294.22	1.0
ENSG00000008300.17	1.0
ENSG00000008311.16	1.0
ENSG00000008323.16	0.9375
ENSG00000008324.12	1.0
ENSG00000008382.16	1.0
ENSG00000008394.13	1.0
ENSG00000008405.12	1.0
ENSG00000008441.19	1.0
ENSG00000008513.17	1.0
ENSG00000008516.19	1.0
ENSG00000008517.19	1.0
ENSG00000008710.20	1.0
ENSG00000008735.14	1.0
ENSG00000008838.21	1.0
ENSG00000008853.18	1.0
ENSG00000008869.12	1.0
ENSG00000008952.17	1.0
ENSG00000008988.11	1.0
ENSG00000009307.17	1.0
ENSG00000009335.19	1.0
ENSG00000009413.17	1.0
ENSG00000009694.14	0.9875
ENSG00000009724.18	1.0
ENSG00000009780.16	1.0
ENSG00000009790.15	0.9875
ENSG00000009830.13	1.0
ENSG00000009844.16	1.0
ENSG00000009950.16	0.9625
ENSG00000009954.11	1.0
ENSG00000010017.13	1.0
ENSG00000010030.14	0.9625
ENSG00000010072.16	1.0
ENSG00000010165.20	1.0
ENSG00000010219.14	1.0
ENSG00000010244.19	1.0
ENSG00000010256.12	1.0
ENSG00000010270.14	1.0
ENSG00000010278.15	1.0
ENSG00000010292.13	1.0
ENSG00000010295.20	1.0
ENSG00000010310.9	0.95
ENSG00000010318.22	1.0
ENSG00000010319.7	1.0
ENSG00000010322.16	1.0
ENSG00000010327.10	1.0
ENSG00000010361.14	1.0
ENSG00000010404.18	1.0
ENSG00000010539.12	1.0
ENSG00000010610.10	1.0
ENSG00000010626.15	1.0
ENSG00000010671.18	1.0
ENSG00000010704.20	1.0
ENSG00000010803.18	1.0
ENSG00000010810.18	1.0
ENSG00000010818.11	1.0
ENSG00000011007.13	1.0
ENSG00000011009.12	1.0
ENSG00000011021.23	1.0
ENSG00000011028.14	1.0
ENSG00000011105.14	1.0
ENSG00000011114.15	1.0
ENSG00000011132.12	1.0
ENSG00000011143.19	1.0
ENSG00000011198.10	1.0
ENSG00000011201.12	1.0
ENSG00000011243.19	1.0
ENSG00000011258.16	1.0
ENSG00000011260.14	1.0
ENSG00000011275.19	1.0
ENSG00000011295.16	1.0
ENSG00000011304.22	1.0
ENSG00000011347.10	1.0
ENSG00000011376.12	1.0
ENSG00000011405.14	1.0
ENSG00000011422.12	1.0
ENSG00000011426.11	1.0
ENSG00000011451.21	1.0
ENSG00000011454.18	1.0
ENSG00000011465.18	1.0
ENSG00000011478.13	1.0
ENSG00000011485.15	1.0
ENSG00000011523.15	1.0
ENSG00000011566.15	1.0
ENSG00000011600.12	1.0
ENSG00000011638.11	1.0
ENSG00000012048.26	1.0
ENSG00000012061.17	1.0
ENSG00000012124.17	0.9625
ENSG00000012171.20	1.0
ENSG00000012174.12	1.0
ENSG00000012211.13	1.0
ENSG00000012223.13	1.0
ENSG00000012232.10	1.0
ENSG00000012660.14	1.0
ENSG00000012779.12	1.0
ENSG00000012817.16	0.9125
ENSG00000012822.16	1.0
ENSG00000012963.15	1.0
ENSG00000012983.12	1.0
ENSG00000013016.16	1.0
ENSG00000013275.8	1.0
ENSG00000013288.9	1.0
ENSG00000013297.12	1.0
ENSG00000013306.16	1.0
ENSG00000013364.19	1.0
ENSG00000013374.17	1.0
ENSG00000013375.17	1.0
ENSG00000013392.8	1.0
ENSG00000013441.17	1.0
ENSG00000013503.10	1.0
ENSG00000013523.12	1.0
ENSG00000013561.18	1.0
ENSG00000013563.14	1.0
ENSG00000013573.17	1.0
ENSG00000013583.10	1.0
ENSG00000013588.10	1.0
ENSG00000013619.15	1.0
ENSG00000013725.14	0.975
ENSG00000013810.21	1.0
ENSG00000014123.10	1.0
ENSG00000014138.10	1.0
ENSG00000014164.7	1.0
ENSG00000014216.16	1.0
ENSG00000014257.17	0.975
ENSG00000014641.21	1.0
ENSG00000014824.14	1.0
ENSG00000014914.21	1.0
ENSG00000014919.13	1.0
ENSG00000015133.20	1.0
ENSG00000015153.15	1.0
ENSG00000015171.21	1.0
ENSG00000015285.12	1.0
ENSG00000015475.19	1.0
ENSG00000015479.20	0.9375
ENSG00000015532.10	1.0
ENSG00000015676.18	1.0
ENSG00000016391.11	1.0
ENSG00000016402.14	0.975
ENSG00000016864.19	1.0
ENSG00000017260.20	1.0
ENSG00000017427.17	0.9875
ENSG00000017483.16	1.0
ENSG00000017797.13	1.0
ENSG00000018189.13	1.0
ENSG00000018236.15	1.0
ENSG00000018280.18	1.0
ENSG00000018408.15	1.0
ENSG00000018510.18	1.0
ENSG00000018610.15	1.0
ENSG00000018625.15	1.0
ENSG00000018699.13	1.0
ENSG00000018869.18	1.0
ENSG00000019102.12	1.0
ENSG00000019144.20	1.0
ENSG00000019169.11	0.9875
ENSG00000019485.14	1.0
ENSG00000019549.13	1.0
ENSG00000019582.17	1.0
ENSG00000019991.18	1.0
ENSG00000019995.6	1.0
ENSG00000020129.16	1.0
ENSG00000020181.18	1.0
ENSG00000020256.20	1.0
ENSG00000020426.11	1.0
ENSG00000020577.14	1.0
ENSG00000020633.19	1.0
ENSG00000020922.13	1.0
ENSG00000021300.14	1.0
ENSG00000021355.13	1.0
ENSG00000021574.15	1.0
ENSG00000021645.20	1.0
ENSG00000021762.20	1.0
ENSG00000021776.11	1.0
ENSG00000021826.18	1.0
ENSG00000022267.19	1.0
ENSG00000022277.13	1.0
ENSG00000022556.16	0.975
